Year,Month,ISO_A3_EH,FPV_MWh,GPV_MWh
2024,5,KGZ,502409.4666737578,491876.4803601982
2024,5,KHM,1047862.2052212948,1010235.4787287106
2024,5,KOR,367507.2974741478,355805.3251209594
2024,5,LAO,6046.492341287264,5940.772315826951
2024,5,LBN,23927.30740505001,23206.830813479657
2024,5,LKA,800375.3919596379,787056.4154819879
2024,5,LTU,336916.4698719486,326304.16484786465
2024,5,LVA,426517.57775194506,411884.40549722855
2024,5,MAR,355772.3029234656,342485.16324000445
2024,5,MDA,86545.22980142175,83761.38784255822
2024,5,MDG,24094.71245194656,23724.89629606926
2024,5,MEX,6340933.756361349,6008363.822635016
2024,5,MKD,153585.2268857332,149773.9346314954
2024,5,MLI,529981.4618491678,499409.1335064783
2024,5,MMR,61834.71997359836,60209.96898303261
2024,5,MNE,382687.7120315386,376885.0116850674
2024,5,MOZ,771112.4364827673,768531.6010170168
2024,5,MWI,940421.092873339,933848.3821033244
2024,5,NGA,1114155.0397372446,1065817.2165996428
2024,5,NIC,751425.5983632844,726606.8407306109
2024,5,NLD,1267785.8958535348,1222218.758390765
2024,5,NOR,529618.6364879905,502484.9333089896
2024,5,NPL,154076.1952057294,145597.70214361182
2024,5,NZL,170713.8104420724,172999.69273798208
2024,5,PAK,2371611.3250578097,2220419.0556058977
2024,5,PAN,55858.96883592184,54922.74583866681
2024,5,PER,1010658.9836264076,996614.3511891172
2024,5,PHL,2638183.507982556,2553429.469565417
2024,5,POL,2110656.29271069,2040527.564452392
2024,5,PRI,15709.350981344223,15351.406866716625
2024,5,PRK,251229.34627164408,242833.3257173576
2024,5,PRT,74852.07518662703,72503.27190282366
2024,5,PRY,389714.064818924,382688.2697504532
2024,5,PSE,1279705.3859282965,1251881.3973705613
2024,5,ROU,882170.8871472277,859051.7173325983
2024,5,RUS,19990475.07921439,19284124.18059972
2024,5,RWA,1641275.0905423712,1616210.5927632905
2024,5,SAU,134164.37138376333,127951.340428037
2024,5,SDN,227029.9048150768,210079.0389171565
2024,5,SEN,11277.684081674017,10814.146154903545
2024,5,SLV,280614.7647598349,270324.850263448
2024,5,SRB,205899.9001039776,198471.73839628123
2024,5,SVK,310417.6994926624,297285.0602975259
2024,5,SVN,18951.46208767749,18272.56337880997
2024,5,SWE,4054301.667887461,3847882.980669852
2024,5,SWZ,11257.760453808092,11028.963548110036
2024,5,SYR,1419962.875609684,1359665.7215529366
2024,5,TGO,113302.82760909371,109232.55917259552
2024,5,THA,37411.31692068301,36377.75034115462
2024,5,TJK,577404.1853055708,563988.097083412
2024,5,TKM,20862.08171176591,20646.30069079513
2024,5,TUN,510909.9738591128,494076.7388772703
2024,5,TUR,1477645.604463104,1447809.8394023257
2024,5,TWN,8151.6723967041235,8188.421270983878
2024,5,TZA,2051562.6781789025,2008768.544825181
2024,5,UGA,2054311.728758618,1996417.803924215
2024,5,UKR,4788961.42034963,4597343.860460576
2024,5,URY,16348.86314932888,16389.78853213749
2024,5,USA,35323085.91957376,34043453.87904167
2024,5,UZB,93277.7834148605,90992.34757607635
2024,5,VEN,1001919.9877581084,973083.91927533
2024,5,VNM,1226412.3814279698,1195055.996902925
2024,5,YEM,18339.16080218728,17300.835640204008
2024,5,ZAF,804865.8861386718,788489.383717529
2024,5,ZMB,186613.3451574445,184250.5128312577
2024,5,ZWE,405382.3238745941,397741.09395493375
2024,6,AGO,46642.42058413571,45790.33741679424
2024,6,ALB,867449.6519447325,830571.130448849
2024,6,ARG,55362.72110183817,54403.87199790823
2024,6,ARM,433167.902840834,419931.8272906965
2024,6,AUS,259796.02587585847,259330.3825429801
2024,6,AUT,517585.0893589167,501081.7002283798
2024,6,AZE,1213456.5436566484,1154401.8260547111
2024,6,BDI,1274199.8593347685,1249220.781336384
2024,6,BEL,7084.90888159015,6975.253585912926
2024,6,BEN,170436.00070739508,166236.23612313866
2024,6,BFA,43837.75151883382,42104.793187021336
2024,6,BGD,411613.5057043752,400238.6653363311
2024,6,BGR,513274.0409743484,490328.1113105749
2024,6,BLR,89849.47283761125,87947.9423588028
2024,6,BOL,1004773.9536604156,991977.3007351988
2024,6,BRA,7666388.781187727,7491732.643254745
2024,6,CAN,15637739.235021858,15077643.080368685
2024,6,CHE,4284165.262917707,4170331.95174165
2024,6,CHN,30709661.29980565,29754749.48821528
2024,6,CIV,36937.0132416213,35997.354648268
2024,6,COD,1440419.54702578,1420622.6856032736
2024,6,COG,35252.565582935844,34613.99778399991
2024,6,COL,822370.6086409361,808609.9089104184
2024,6,CUB,82627.96638714282,81124.8802069362
2024,6,CZE,129057.10822413872,125022.75980190332
2024,6,DEU,2425797.8538375506,2353589.5961476886
2024,6,DNK,543115.4693653025,531167.5723341622
2024,6,DOM,153601.7344540503,151176.12553578263
2024,6,DZA,109342.66275194428,104525.03568720674
2024,6,ECU,81541.09141046794,81576.71751705837
2024,6,EGY,2389748.175831717,2250538.678807772
2024,6,ESP,379064.89880631457,368347.6341280947
2024,6,EST,117992.1902840637,114658.15300893088
2024,6,ETH,892390.3751422652,878760.7074046347
2024,6,FIN,1631470.908207348,1554816.8781540182
2024,6,FRA,1693041.5660902958,1637156.5217859112
2024,6,GBR,791121.2955951951,775648.3806072087
2024,6,GEO,54458.5144531452,53259.84940624095
2024,6,GHA,41136.50504720869,40157.86971823564
2024,6,GRC,255617.18591531957,242593.7037516263
2024,6,GTM,355458.2733708541,351316.96801617794
2024,6,HKG,29887.821417475978,29491.824082917858
2024,6,HND,2782.436855034909,2731.879697983325
2024,6,HRV,38786.02832363349,36828.85987535177
2024,6,HTI,51855.47037284707,50732.776213793295
2024,6,HUN,742996.9754147681,707415.2425129537
2024,6,IDN,1020746.6477593736,1007755.1729543564
2024,6,IND,9681971.84240795,9348860.395948512
2024,6,IRL,603729.6795293865,593058.7356668928
2024,6,IRN,1134384.4345493224,1082452.04961241
2024,6,IRQ,2823737.937435945,2596236.845842032
2024,6,ISR,785317.1500716478,751391.5309040846
2024,6,ITA,4075068.4802949,3963439.59975733
2024,6,JOR,1319207.3181312843,1261035.7159133554
2024,6,JPN,2464706.1336955098,2398951.437392905
2024,6,KAZ,17365.9235151585,16888.77094634221
2024,6,KEN,1237358.2474725556,1210816.171904015
2024,6,KGZ,529687.7854643752,517493.6680602699
2024,6,KHM,929619.140784674,901916.9206463016
2024,6,KOR,341738.08800276695,332753.7524033795
2024,6,LAO,5585.029332530019,5517.506941620673
2024,6,LBN,24847.391213027506,23417.41692894445
2024,6,LKA,825574.4855989271,807283.8436629564
2024,6,LTU,293588.28110806324,288544.028209889
2024,6,LVA,394638.6096674501,385875.69983457815
2024,6,MAR,346986.48607597046,332751.0957809014
2024,6,MDA,89490.74260851483,86050.97560911188
2024,6,MDG,21922.8236738651,21415.08629336232
2024,6,MEX,4813816.514346904,4654409.022031879
2024,6,MKD,190655.3832509512,179939.31626707778
2024,6,MLI,475564.3249574455,456586.0725810791
2024,6,MMR,35759.072787720506,35576.23065624207
2024,6,MNE,450744.8696487444,433241.4202450096
2024,6,MOZ,696481.097483106,695708.6258953298
2024,6,MWI,821053.5992930898,817886.1412799082
2024,6,NGA,979476.4254604896,947204.5411149962
2024,6,NIC,494352.08230386575,486063.6060251185
2024,6,NLD,1287120.2609172417,1258875.868192556
2024,6,NOR,476908.587847672,458939.233151198
2024,6,NPL,130431.59031269152,124345.38843167032
2024,6,NZL,110185.45857359946,110855.33679951658
2024,6,PAK,2159008.618992142,2022482.362844992
2024,6,PAN,48848.96336208811,48143.1095456145
2024,6,PER,891191.5133323867,880521.5360486655
2024,6,PHL,2054366.5759785236,2009546.8201235533
2024,6,POL,1807746.498792554,1763620.594362665
2024,6,PRI,15162.1294685636,14840.81141207895
2024,6,PRK,277649.58260569006,268739.4396642131
2024,6,PRT,71282.39841648242,68589.77314838408
2024,6,PRY,377068.8912537513,367264.7328817833
2024,6,PSE,1309494.8829134486,1252103.2295153008
2024,6,ROU,1064103.47043463,1013813.9885560168
2024,6,RUS,19014436.86784786,18187021.72537205
2024,6,RWA,1620407.4792980377,1590126.6822262278
2024,6,SAU,123726.51356468674,116509.59816417332
2024,6,SDN,196513.2295629856,182966.75899193695
2024,6,SEN,10383.41454652714,10147.324429045511
2024,6,SLV,177080.3804767221,173454.8835594457
2024,6,SRB,255893.62163439053,241255.8383094444
2024,6,SVK,297168.18083550734,286389.3562484843
2024,6,SVN,21028.33136427828,20092.187733452025
2024,6,SWE,3684167.187589506,3509634.38024921
2024,6,SWZ,9429.26678565087,9206.701772683173
2024,6,SYR,1547010.0903444765,1422252.5650371688
2024,6,TGO,89938.75397943326,87422.15047025774
2024,6,THA,32616.963134801827,31887.28678667932
2024,6,TJK,618287.6951094931,592491.8164927973
2024,6,TKM,23643.904911077447,22796.67628301149
2024,6,TUN,515353.9813112426,492659.6597536208
2024,6,TUR,1790918.4030260388,1700865.5271146712
2024,6,TWN,8590.620653863378,8590.519580121047
2024,6,TZA,1995337.8838630908,1953062.454250642
2024,6,UGA,1923917.1663797088,1869712.6315203067
2024,6,UKR,4419188.414738691,4234936.137105948
2024,6,URY,13876.36675927866,13770.624860483316
2024,6,USA,34885848.414867856,33640935.75499343
2024,6,UZB,106186.18652230332,102464.00179084986
2024,6,VEN,902121.6281044072,886191.7028007715
2024,6,VNM,1127872.8540291856,1103100.9333535898
2024,6,YEM,16241.336975110624,15221.32255293688
2024,6,ZAF,626006.5726039114,617638.9959121178
2024,6,ZMB,156643.7039779105,155202.16557019425
